job_class,sum
建筑工程验收质量管理/测试工程师,2
业务拓展主管/经理大客户管理,3
贸易/外贸专员/助理业务跟单,4
工程/机械绘图员机械工程师,5
招聘经理/主管,29
销售行政经理/主管销售行政助理,1
市场企划经理/主管促销主管/督导/巡店,1
电子/电器维修工程师/技师工程/设备工程师,2
产品/品牌专员,15
电路工程师/技术员嵌入式软件开发,2
环境/健康/安全工程师质检员/测试员,1
销售经理市场/营销/拓展经理,18
项目经理/主管项目工程师,4
网络销售/在线销售,31
仪器/仪表/计量分析师电路工程师/技术员,1
销售工程师网络销售/在线销售,4
商务主管/专员商务经理,5
质量管理/测试主管质量管理/测试工程师,11
电路工程师/技术员射频工程师,1
薪资福利经理/主管绩效考核经理/主管,3
贸易/外贸专员/助理贸易/外贸经理/主管,6
集成电路IC设计/应用工程师技术总监/经理,1
销售工程师贸易/外贸专员/助理,1
普工/操作工组装工,31
产品/品牌经理市场/营销/拓展总监,1
电子软件开发电子工程师/技术员,2
工业设计/产品设计文案/策划,1
硬件测试工程师电池/电源开发,2
审计经理/主管审计专员/助理,1
产品工艺/制程工程师激光/光电子技术,1
技术支持/维护经理网络管理,1
市场分析/调研人员产品/品牌经理,1
单证员船务/空运陆运操作,1
技术研发工程师产品工艺/制程工程师,6
文案/策划市场/营销/拓展专员,1
集成电路IC设计/应用工程师半导体工艺工程师,2
集成电路IC设计/应用工程师电子工程师/技术员,10
市场分析/调研人员市场企划专员,2
出纳员财务助理/财务文员,14
市场/营销/拓展主管,17
销售主管业务拓展主管/经理,5
嵌入式软件开发售前/售后技术支持工程师,1
客服专员/助理网络/在线客服,6
商务主管/专员销售代表,1
供应链主管/专员,21
培训专员/助理/培训师,18
结构工程师工业设计/产品设计,10
实验室负责人/工程师,19
技术支持/维护经理技术支持/维护工程师,2
激光/光电子技术半导体技术,5
总裁助理/总经理助理行政总监,1
化工技术应用/化工工程师技术研发工程师,4
生产经理/车间主任生产总监,2
项目经理/主管建筑工程管理/项目经理,1
渠道/分销经理销售经理,2
建筑工程管理/项目经理,17
SEO/SEM网络推广经理/主管,1
业务跟单贸易/外贸专员/助理,7
网络/在线客服网店客服,4
网店客服网络/在线客服,5
安全员环境/健康/安全经理/主管,2
人事经理行政经理/主管/办公室主任,5
客服主管网络销售/在线销售,1
FAE 现场应用工程师电池/电源开发,3
售前/售后技术支持工程师安防系统工程师,1
文员行政专员/助理,3
电话销售网络/在线客服,1
结构工程师电子工程师/技术员,1
技术文员/助理项目工程师,1
采购员商务主管/专员,1
其他行政专员/助理,1
审计经理/主管,14
售前/售后技术支持工程师汽车项目管理,1
硬件测试工程师集成电路IC设计/应用工程师,11
美工/电商设计师,29
空调/热能工程师,5
电池/电源开发集成电路IC设计/应用工程师,3
电力工程师/技术员技工,1
渠道/分销主管销售工程师,1
物料主管/专员物流专员/助理,2
产品/品牌主管半导体产品经理/产品工程师,1
工程/机械绘图员半导体技术,2
其他工程/设备工程师,3
医疗器械销售代表医疗器械销售经理/主管,2
总工程师/副总工程师电子技术研发工程师,1
售前/售后技术支持工程师售前/售后技术支持工程师,2
文案/策划产品/品牌专员,1
半导体产品经理/产品工程师采购经理,1
高级软件工程师技术支持/维护工程师,1
财务主管/总账主管会计,6
技术支持/维护经理,15
电子工程师/技术员FAE 现场应用工程师,7
测试经理项目执行/协调人员,1
招聘专员/助理总裁助理/总经理助理,1
机械工程师夹具工程师/技师,1
网络销售/在线销售电话销售,2
招聘经理/主管招聘专员/助理,3
智能大厦/综合布线/安防/弱电售前/售后技术支持经理,1
半导体技术电力工程师/技术员,1
维修工程师工程/设备工程师,7
房地产中介/置业顾问房地产销售,1
售前/售后技术支持工程师售前/售后技术支持经理,11
媒介专员市场/营销/拓展专员,1
贸易/外贸专员/助理高级业务跟单,6
贸易/外贸经理/主管贸易/外贸专员/助理,6
电子/电器维修工程师/技师电子技术研发工程师,1
电子工艺工程师电子产品经理/产品工程师,1
销售助理市场/营销/拓展专员,2
硬件工程师电池/电源开发,2
集成电路IC设计/应用工程师其他,5
产品工艺/制程工程师半导体工艺工程师,24
售前/售后技术支持经理,37
化工技术应用/化工工程师机械工程师,1
公关经理行政经理/主管/办公室主任,1
医疗器械维修人员售前/售后技术支持工程师,1
集成电路IC设计/应用工程师自动控制工程师/技术员,1
市场/营销/拓展经理电子产品经理/产品工程师,1
总裁助理/总经理助理行政专员/助理,1
产品经理/主管产品总监,6
工业设计/产品设计版图设计工程师,1
销售工程师产品工艺/制程工程师,1
生产文员生产计划/物料管理,2
网络/在线客服网络销售/在线销售,3
焊接工程师/技师结构工程师,1
销售主管客户经理/主管,8
美工/电商设计师网页设计师,1
电子软件开发集成电路IC设计/应用工程师,3
报关与报检贸易/外贸专员/助理,2
电池/电源开发空调/热能工程师,1
市场/营销/拓展主管市场/营销/拓展经理,1
质量管理/测试经理认证工程师,1
投资/基金项目经理,10
财务助理/财务文员会计,10
硬件工程师电路工程师/技术员,4
市场分析/调研人员市场/营销/拓展经理,1
产品/品牌经理销售经理,1
产品工艺/制程工程师技术研发经理/主管,1
集成电路IC设计/应用工程师硬件测试工程师,4
网页设计师美工/电商设计师,1
质量管理/测试工程师硬件测试工程师,1
销售行政专员业务分析专员/助理,1
项目经理/主管产品规划工程师,1
商务经理商务主管/专员,2
电路工程师/技术员硬件测试工程师,2
IT经理/IT主管,27
业务拓展主管/经理商务经理,2
给排水/暖通工程,8
管道/暖通,3
